"$V$ (volts)" "$I$ (A)"
0.87999999523162841800 0.01727660000324249270
0.88999998569488525400 0.01826889999210834500
0.89999997615814209000 0.01929911971092224120
0.91000002622604370100 0.02033624984323978420
0.92000001668930053700 0.02138786017894744870
0.93000000715255737300 0.02248175069689750670
0.93999999761581420900 0.02357503958046436310
0.94999998807907104500 0.02467981912195682530
0.95999997854232788100 0.02582780085504055020
0.97000002861022949200 0.02697323076426982880
0.98000001907348632800 0.02813220955431461330
0.99000000953674316400 0.02931476011872291570
1.00000000000000000000 0.03050241060554981230
