350,0.244,0.262,0.255,0.294,0.34,0.383,0.49,0.624,0.814,1.068,1.409,1.797,1.577,1.199,0.927,0.714,0.57,0.447,0.35,0.309,0.296,0.292,0.259,0.283,0.282,0.255,0.284,0.298,0.274,0.329,0.384,0.471,0.592,0.745,0.99,1.341,1.063,0.811,0.606,0.456,0.379,0.288,0.264,0.237,0.239,0.241,0.248,0.267,0.243,0.199,0.191,0.175,0.175,0.196,0.222,0.264,0.338,0.427,0.577,0.76,0.552,0.403,0.304,0.218,0.17,0.152,0.144,0.139,0.135,0.14,0.148,0.199,0.166,0.103,0.092,0.074,0.069,0.072,0.08,0.108,0.137,0.177,0.259,0.349,0.209,0.147,0.093,0.073,0.061,0.035,0.036,0.041,0.03,0.041,0.057,0.098,0.059,0.026,0.009,0.011,0.011,-0.001,0.017,0.006,0.024,0.036,0.077,0.117,0.053,0.021,0.003,-0.004,-0.015,-0.017,-0.015,-0.014,-0.008,-0.012,-0.002,0.028,0.006,-0.017,-0.02,-0.022,-0.016,-0.014,-0.025,-0.012,-0.01,-0.008,0.003,0.004,-0.012,-0.016,-0.017,-0.02,-0.039,-0.022,-0.026,-0.024,-0.027,-0.036,-0.029,-0.01
355,0.373,0.357,0.353,0.394,0.446,0.5,0.59,0.763,0.992,1.267,1.655,2.117,1.841,1.423,1.106,0.865,0.659,0.566,0.474,0.407,0.368,0.355,0.34,0.361,0.352,0.331,0.351,0.348,0.375,0.39,0.469,0.589,0.711,0.895,1.202,1.53,1.234,0.966,0.714,0.565,0.447,0.383,0.334,0.299,0.295,0.302,0.305,0.335,0.306,0.251,0.237,0.24,0.229,0.242,0.28,0.344,0.387,0.533,0.708,0.915,0.667,0.507,0.344,0.283,0.234,0.201,0.163,0.158,0.171,0.184,0.188,0.255,0.196,0.141,0.123,0.095,0.094,0.1,0.109,0.127,0.179,0.226,0.306,0.432,0.266,0.187,0.126,0.091,0.072,0.053,0.051,0.046,0.051,0.057,0.093,0.135,0.07,0.039,0.027,0.017,0.026,0.015,0.033,0.025,0.032,0.07,0.1,0.147,0.07,0.039,0.028,0.014,0,-0.002,-0.013,-0.008,0.004,-0.005,0.009,0.047,0.02,-0.008,-0.015,-0.01,-0.015,-0.019,-0.019,-0.022,-0.02,-0.001,0.014,0.035,0.009,-0.011,-0.009,-0.012,-0.022,-0.027,-0.022,-0.023,-0.018,-0.022,-0.017,0.006
360,0.524,0.499,0.508,0.509,0.576,0.643,0.742,0.925,1.171,1.487,1.876,2.402,2.109,1.628,1.303,1.001,0.807,0.666,0.568,0.492,0.506,0.48,0.46,0.509,0.462,0.408,0.446,0.452,0.425,0.48,0.562,0.661,0.84,1.049,1.387,1.769,1.395,1.084,0.839,0.664,0.531,0.473,0.402,0.381,0.355,0.363,0.372,0.4,0.366,0.305,0.286,0.261,0.283,0.317,0.347,0.393,0.489,0.63,0.801,1.07,0.787,0.592,0.447,0.342,0.278,0.248,0.215,0.202,0.212,0.23,0.24,0.305,0.25,0.174,0.148,0.13,0.131,0.142,0.152,0.186,0.2,0.3,0.37,0.535,0.322,0.228,0.145,0.116,0.087,0.076,0.067,0.065,0.076,0.088,0.107,0.166,0.107,0.055,0.042,0.032,0.029,0.029,0.04,0.043,0.065,0.073,0.118,0.185,0.107,0.051,0.04,0.03,0.008,-0.01,-0.005,0.003,0.004,0.014,0.025,0.058,0.023,-0.005,-0.014,-0.019,-0.007,-0.014,-0.016,-0.01,0,0.009,0.017,0.049,0.002,0,-0.009,-0.012,-0.016,-0.018,-0.02,-0.024,-0.02,-0.02,-0.017,0.005
365,0.856,0.808,0.789,0.802,0.809,0.897,0.973,1.196,1.406,1.806,2.248,2.833,2.438,1.943,1.521,1.256,1.01,0.849,0.738,0.708,0.688,0.725,0.691,0.749,0.621,0.571,0.603,0.597,0.575,0.607,0.723,0.826,1.008,1.261,1.611,2.033,1.643,1.3,1.018,0.793,0.648,0.586,0.52,0.477,0.447,0.462,0.479,0.541,0.471,0.384,0.361,0.354,0.348,0.395,0.441,0.484,0.58,0.751,0.953,1.269,0.916,0.684,0.534,0.414,0.356,0.315,0.267,0.269,0.267,0.271,0.309,0.371,0.316,0.232,0.192,0.185,0.161,0.164,0.196,0.218,0.273,0.358,0.461,0.62,0.377,0.289,0.201,0.175,0.133,0.106,0.106,0.083,0.095,0.121,0.152,0.203,0.134,0.074,0.064,0.052,0.046,0.037,0.05,0.065,0.086,0.105,0.179,0.242,0.133,0.087,0.058,0.04,0.022,0.012,0.018,0.004,0.022,0.033,0.025,0.067,0.047,0.004,0.01,-0.007,-0.001,-0.006,-0.016,-0.011,0.003,0.021,0.037,0.057,0.028,0.005,0.002,-0.017,-0.018,-0.017,-0.016,-0.018,-0.012,-0.016,-0.007,0.027
370,1.487,1.342,1.268,1.216,1.204,1.23,1.308,1.545,1.814,2.217,2.638,3.308,2.842,2.225,1.868,1.495,1.265,1.096,0.976,0.987,1.028,1.028,1.072,1.174,0.897,0.792,0.812,0.796,0.754,0.795,0.873,0.996,1.203,1.499,1.853,2.344,1.89,1.481,1.169,0.951,0.8,0.677,0.609,0.589,0.592,0.602,0.643,0.701,0.594,0.504,0.455,0.441,0.452,0.479,0.522,0.581,0.708,0.883,1.127,1.428,1.082,0.813,0.634,0.498,0.413,0.374,0.344,0.32,0.313,0.338,0.392,0.502,0.387,0.285,0.239,0.222,0.199,0.218,0.232,0.27,0.345,0.416,0.551,0.735,0.478,0.352,0.255,0.2,0.155,0.14,0.122,0.117,0.136,0.147,0.202,0.289,0.173,0.107,0.085,0.06,0.071,0.06,0.085,0.077,0.122,0.149,0.201,0.278,0.174,0.107,0.071,0.053,0.042,0.031,0.022,0.019,0.027,0.037,0.049,0.105,0.061,0.018,0.013,-0.003,-0.002,0.013,0.007,0.008,0.016,0.04,0.056,0.093,0.042,0.015,0.003,-0.009,-0.011,-0.018,-0.01,-0.012,-0.01,-0.009,-0.003,0.028
375,2.619,2.36,2.174,1.981,1.866,1.817,1.848,2.05,2.325,2.689,3.207,3.931,3.27,2.636,2.216,1.854,1.625,1.469,1.351,1.412,1.553,1.684,1.716,1.968,1.305,1.18,1.179,1.097,1.027,1.014,1.125,1.219,1.443,1.768,2.147,2.712,2.141,1.704,1.378,1.128,0.963,0.851,0.772,0.756,0.764,0.791,0.833,0.97,0.755,0.636,0.575,0.554,0.546,0.557,0.63,0.693,0.823,1.021,1.292,1.639,1.211,0.942,0.742,0.587,0.506,0.433,0.404,0.399,0.398,0.414,0.481,0.561,0.445,0.336,0.288,0.273,0.246,0.267,0.283,0.332,0.4,0.474,0.65,0.861,0.554,0.41,0.311,0.243,0.196,0.16,0.164,0.154,0.177,0.199,0.229,0.332,0.218,0.133,0.104,0.097,0.088,0.091,0.1,0.105,0.129,0.181,0.241,0.341,0.204,0.137,0.104,0.07,0.051,0.032,0.038,0.03,0.042,0.051,0.073,0.126,0.071,0.04,0.015,0.01,0.015,0.005,0.015,0.017,0.038,0.054,0.079,0.126,0.06,0.035,0.015,0.005,0.002,0.002,-0.009,-0.012,-0.01,0.003,0.003,0.053
380,5.141,4.548,4.115,3.681,3.308,2.964,3.018,2.991,3.247,3.643,4.023,4.801,3.894,3.256,2.805,2.48,2.229,2.111,2.089,2.249,2.683,3.088,3.261,3.664,2.25,1.958,1.884,1.728,1.5,1.446,1.492,1.626,1.82,2.151,2.526,3.136,2.482,2.008,1.637,1.375,1.202,1.064,1.024,1.005,1.073,1.145,1.246,1.44,1.013,0.855,0.773,0.69,0.7,0.726,0.771,0.846,0.986,1.186,1.465,1.87,1.403,1.104,0.861,0.711,0.615,0.544,0.495,0.475,0.492,0.545,0.592,0.761,0.573,0.443,0.365,0.333,0.325,0.33,0.347,0.389,0.479,0.574,0.768,0.994,0.656,0.509,0.363,0.289,0.254,0.221,0.199,0.195,0.211,0.229,0.282,0.39,0.265,0.178,0.15,0.126,0.116,0.113,0.125,0.144,0.161,0.22,0.299,0.407,0.237,0.188,0.116,0.104,0.077,0.054,0.055,0.052,0.061,0.069,0.098,0.165,0.088,0.056,0.038,0.023,0.021,0.015,0.022,0.038,0.047,0.071,0.088,0.147,0.065,0.042,0.021,0.028,0.018,0.001,-0.007,0,0.003,0.009,0.011,0.061
385,9.289,8.316,7.619,6.742,5.691,4.999,4.704,4.589,4.7,4.997,5.349,6.135,4.808,4.106,3.662,3.412,3.179,3.212,3.365,3.731,4.69,5.519,5.966,6.617,3.865,3.431,3.198,2.807,2.331,2.105,2.086,2.137,2.399,2.702,3.101,3.74,2.876,2.371,1.973,1.695,1.491,1.398,1.379,1.414,1.56,1.73,1.904,2.227,1.409,1.211,1.055,0.957,0.918,0.909,0.957,1.017,1.154,1.403,1.74,2.162,1.592,1.266,1.019,0.822,0.749,0.65,0.618,0.605,0.63,0.687,0.766,0.965,0.68,0.514,0.455,0.418,0.391,0.415,0.426,0.477,0.566,0.705,0.869,1.131,0.759,0.563,0.436,0.367,0.306,0.269,0.255,0.243,0.262,0.283,0.36,0.494,0.311,0.213,0.178,0.147,0.137,0.154,0.156,0.164,0.22,0.26,0.363,0.494,0.305,0.213,0.174,0.124,0.105,0.084,0.073,0.075,0.08,0.097,0.129,0.198,0.129,0.064,0.041,0.033,0.026,0.029,0.035,0.048,0.068,0.076,0.12,0.179,0.1,0.067,0.044,0.034,0.021,0.009,0.01,0.01,0.002,0.024,0.039,0.073
390,16.176,14.786,13.798,11.825,9.73,8.429,7.971,7.224,7.266,7.198,7.447,8.076,6.084,5.457,5.062,4.964,4.852,5.176,5.675,6.513,8.155,9.781,10.751,11.876,6.468,5.989,5.562,4.811,3.827,3.376,3.13,3.09,3.267,3.523,3.931,4.593,3.445,2.852,2.464,2.187,1.957,1.938,1.957,2.057,2.416,2.787,3.15,3.707,2.161,1.735,1.526,1.355,1.249,1.204,1.239,1.3,1.456,1.666,1.989,2.464,1.856,1.437,1.21,0.997,0.889,0.806,0.785,0.765,0.815,0.89,1.049,1.318,0.871,0.682,0.587,0.515,0.479,0.486,0.517,0.582,0.65,0.795,1.017,1.292,0.878,0.665,0.509,0.413,0.371,0.326,0.295,0.295,0.321,0.359,0.433,0.58,0.375,0.271,0.218,0.192,0.182,0.171,0.211,0.208,0.253,0.326,0.439,0.562,0.346,0.274,0.197,0.154,0.126,0.101,0.099,0.094,0.1,0.123,0.159,0.24,0.154,0.092,0.067,0.043,0.045,0.044,0.043,0.072,0.082,0.11,0.145,0.217,0.128,0.077,0.055,0.05,0.025,0.02,0.018,0.008,0.016,0.022,0.044,0.094
395,25.814,23.991,22.06,18.568,15.442,14.378,13.031,11.297,11.477,10.656,10.909,11.092,8.063,7.65,7.307,7.617,7.595,8.395,9.75,11.152,13.562,15.814,17.577,18.849,11.461,10.211,9.583,8.432,6.634,5.598,4.935,4.631,4.732,4.777,5.193,5.863,4.208,3.612,3.158,2.924,2.829,2.822,3.031,3.437,4.035,4.779,5.412,6.363,3.526,2.83,2.389,2.051,1.823,1.713,1.682,1.686,1.845,2.065,2.486,2.968,2.138,1.706,1.442,1.199,1.129,1.044,0.999,1.039,1.127,1.265,1.505,1.906,1.134,0.895,0.756,0.67,0.62,0.604,0.637,0.692,0.801,0.954,1.16,1.5,1.005,0.783,0.623,0.512,0.433,0.399,0.36,0.376,0.4,0.449,0.549,0.738,0.465,0.327,0.273,0.237,0.219,0.221,0.238,0.257,0.319,0.373,0.493,0.67,0.418,0.314,0.245,0.192,0.158,0.138,0.125,0.133,0.138,0.157,0.201,0.288,0.183,0.111,0.098,0.064,0.075,0.065,0.075,0.092,0.117,0.135,0.179,0.258,0.154,0.108,0.083,0.062,0.049,0.03,0.023,0.027,0.025,0.041,0.063,0.121
