"Zn/(Cd+Zn)","Band Gap (eV)","Film Thickness (nm)"
2.73E-001,2.73E+000,196.663956
2.79E-001,2.74E+000,201.457458
2.83E-001,2.75E+000,207.1492
2.95E-001,2.76E+000,213.735474
2.98E-001,2.77E+000,220.460129
3.12E-001,2.78E+000,226.500931
2.11E-001,2.62E+000,213.017242
2.07E-001,2.63E+000,207.534637
2.14E-001,2.63E+000,201.255722
2.12E-001,2.64E+000,194.401047
2.15E-001,2.64E+000,188.143677
2.15E-001,2.65E+000,184.254929
2.21E-001,2.65E+000,184.706512
2.22E-001,2.66E+000,183.974899
2.26E-001,2.67E+000,185.176605
2.29E-001,2.68E+000,188.58754
2.35E-001,2.68E+000,193.142334
2.40E-001,2.69E+000,198.154327
2.44E-001,2.70E+000,203.917862
2.51E-001,2.71E+000,210.269318
2.58E-001,2.72E+000,217.128693
2.64E-001,2.72E+000,224.080032
2.74E-001,2.73E+000,230.778641
1.87E-001,2.60E+000,207.874756
1.86E-001,2.61E+000,202.687958
1.91E-001,2.61E+000,196.833725
1.91E-001,2.61E+000,190.714584
1.90E-001,2.62E+000,184.425095
1.92E-001,2.62E+000,179.167816
1.94E-001,2.63E+000,182.420288
1.96E-001,2.64E+000,176.877975
1.98E-001,2.64E+000,181.472809
2.01E-001,2.65E+000,186.998337
2.05E-001,2.66E+000,192.5961
2.09E-001,2.67E+000,198.371887
2.15E-001,2.67E+000,204.71579
2.20E-001,2.68E+000,211.570755
2.27E-001,2.68E+000,218.729004
2.35E-001,2.69E+000,226.159546
2.41E-001,2.70E+000,233.213501
