"$\lambda$ $(nm)$","$n$","$\kappa$"
1347.000,2.214,0.034
1350.426,2.213,0.034
1353.853,2.213,0.034
1357.280,2.213,0.034
1360.707,2.213,0.034
1364.134,2.212,0.034
1367.561,2.212,0.034
1370.989,2.212,0.034
1374.417,2.212,0.034
1377.844,2.212,0.034
1381.272,2.211,0.034
1384.700,2.211,0.034
1388.129,2.211,0.034
1391.557,2.211,0.034
1394.986,2.211,0.034
1398.415,2.210,0.034
1401.844,2.210,0.034
1405.273,2.210,0.034
1408.703,2.210,0.034
1412.132,2.210,0.034
1415.562,2.209,0.034
1418.992,2.209,0.034
1422.422,2.209,0.034
1425.853,2.209,0.034
1429.283,2.209,0.034
1432.714,2.208,0.034
1436.145,2.208,0.034
1439.576,2.208,0.034
1443.008,2.208,0.034
1446.439,2.208,0.034
1449.871,2.208,0.034
1453.303,2.207,0.034
1456.735,2.207,0.034
1460.168,2.207,0.034
1463.600,2.207,0.034
1467.033,2.207,0.034
1470.466,2.207,0.034
1473.899,2.206,0.034
1477.333,2.206,0.034
1480.766,2.206,0.034
1484.200,2.206,0.034
1487.635,2.206,0.034
1491.069,2.206,0.034
1494.503,2.206,0.034
1497.938,2.205,0.034
